Igbo,English
agu,lion
bekee,English
Chere,wait
obu,bedroom
di,husband
ebe,place
udo,peace
 nkita,Dog
Ji,Yam
Nri,Food
ofe,soup
Oche,Chair
iri,ten
otu,one
mba,no
papa,father
ehihie,afternoon
okporoko,stockfish
Akpa,Bag
okwu,word
enwe,monkey
ole,number
Uzo,Road
Eze,King
ezi okwu,truth
Nti,Ear
Isi,Head
mkpu,short
olee oge,when
etiti,center
mma,good
gwuo mmiri,swim
onye igbo,igbo man
onye isi,boss
Aka,Hand
oyi,cold
ime,interior
Ekpere,Prayer
Nwoke,Man
ili,bury
mgbu,pain
ise,five
oge,time
Nwa,Child
puku,"1,000"
ula,sleep
urukpu,cloud
ihe,thing
ngozi,blessing
Onwu,Death
imu nwa,to give birth
jide,hold
mmiri,water
azu,fish
ikuku,air
efele,plate
tolotolo,turkey
igwu egwu,play
obere,small
njedebe,end
tinye,put
weputa,remove
obodo,town
aka,hand
tata,today
kedu,how
Efe,Cloth
Elu,Up
Ihunanya,Love
ala,land
ebe a,here
maka,about
nnukwu,big
elu,high
Iheoma,good thing
na-eso,follow
eme,act
kodi,bye
nsogbu,trouble
onye nkuzi,teacher
mgbanwe,change
ogologo,talk
onyinye,gift
Uche,thought
anya,Eye
mkpa,need
chukwu,God
foto,picture
ewu,goat
biko,please
gbachie,close
Igwe,King
ebe,point
nne,mother
Osiso,fast
ka chi foo,goodnight
ewu,goat
onwe,self
Oku,Light
